Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:10:06 26.12 56.24
2024-09-23 05:10:08 26.13 56.20
2024-09-23 05:10:09 26.13 56.27
2024-09-23 05:10:11 26.14 56.26
2024-09-23 05:10:12 26.13 56.23
2024-09-23 05:10:14 26.13 56.21
2024-09-23 05:10:15 26.15 56.27
2024-09-23 05:10:17 26.13 56.25
2024-09-23 05:10:18 26.14 56.17
2024-09-23 05:10:20 26.15 56.31
2024-09-23 05:10:21 26.12 56.28
2024-09-23 05:10:23 26.14 56.28
2024-09-23 05:10:24 26.14 56.27
2024-09-23 05:10:26 26.14 56.27
2024-09-23 05:10:27 26.12 56.30
2024-09-23 05:10:29 26.14 56.26
2024-09-23 05:10:30 26.12 56.30
2024-09-23 05:10:32 26.13 56.25
2024-09-23 05:10:33 26.13 56.28
2024-09-23 05:10:35 26.13 56.26
2024-09-23 05:10:36 26.13 56.25
2024-09-23 05:10:38 26.14 56.25
2024-09-23 05:10:39 26.13 56.20
2024-09-23 05:10:41 26.13 56.26
2024-09-23 05:10:42 26.13 56.26
2024-09-23 05:10:44 26.13 56.29
2024-09-23 05:10:45 26.13 56.24
2024-09-23 05:10:47 26.14 56.25
2024-09-23 05:10:49 26.12 56.30
2024-09-23 05:10:50 26.13 56.26
2024-09-23 05:10:52 26.13 56.28
2024-09-23 05:10:53 26.14 56.28
2024-09-23 05:10:55 26.13 56.28
2024-09-23 05:10:56 26.15 56.26
2024-09-23 05:10:58 26.14 56.26
2024-09-23 05:10:59 26.13 56.25
2024-09-23 05:11:01 26.15 56.27
2024-09-23 05:11:02 26.13 56.26
2024-09-23 05:11:04 26.13 56.25
2024-09-23 05:11:05 26.12 56.28
2024-09-23 05:11:07 26.13 56.25
2024-09-23 05:11:08 26.12 56.28
2024-09-23 05:11:10 26.14 56.28
2024-09-23 05:11:11 26.12 56.30
2024-09-23 05:11:13 26.12 56.26
2024-09-23 05:11:14 26.10 56.26
2024-09-23 05:11:16 26.14 56.23
2024-09-23 05:11:17 26.14 56.29
2024-09-23 05:11:19 26.14 56.28
2024-09-23 05:11:20 26.13 56.26
2024-09-23 05:11:22 26.12 56.29
